Category;EXXXXX;Equities;Financial instruments representing an ownership interest in an entity or pool of assets.
AttributeValue;DNXSXX;S;Secured (debt issue against which specific assets are pledged to secure the obligation, e.g. mortgage or receivables);
AttributeValue;DNXUXX;U;Unsecured/unguaranteed (the direct obligations of the issuer rest solely on its general credit);
AttributeValue;DNXPXX;P;Negative pledge (the borrower agrees not to pledge any assets if such pledging would result in less security for the agreement's bondholders);
AttributeValue;DNXNXX;N;Senior (applies to senior debts that are placed before senior subordinated, junior and junior subordinated in the ranking in the event of liquidation);
AttributeValue;DNXOXX;O;Senior subordinated (applies to senior subordinated debts that are placed before junior and junior subordinated in the ranking in the event of liquidation);
AttributeValue;DNXQXX;Q;Junior (applies to junior debts that are placed before junior subordinated in the ranking in the event of liquidation);
AttributeValue;DNXJXX;J;Junior subordinated (applies to junior subordinated debts in the ranking in the event of liquidation);
AttributeValue;DNXCXX;C;Supranational (organization defined as being beyond the scope or borders of any one nation such as two or more central banks or two or more central governments. Examples of supranational include the United Nations, the European Union, the European Investment Bank and the World Bank);
Attribute;ThirdAttribute;Redemption/reimbursement;indicates the retirement provisions made for the debt issue;
AttributeValue;DNXXFX;F;Fixed maturity (the principal amount is repaid in full at maturity);
AttributeValue;DNXXGX;G;Fixed maturity with call feature (the issue may be called for redemption prior to the fixed maturity date);
AttributeValue;DNXXCX;C;Fixed maturity with put feature (the holder may request the reimbursement of his bonds prior to the maturity date);
AttributeValue;DNXXDX;D;Fixed maturity with put and call;
AttributeValue;DNXXAX;A;Amortization plan (reduction of principal by regular payments);
AttributeValue;DNXXBX;B;Amortization plan with call feature (the redemption of principal may occur as the result of the outstanding portion of the bond being called);
AttributeValue;DNXXTX;T;Amortization plan with put feature;
AttributeValue;DNXXLX;L;Amortization plan with put and call;
AttributeValue;DNXXPX;P;Perpetual (the debt instrument has no fixed maturity date and is only due for redemption in the case of the issuer's liquidation);
AttributeValue;DNXXQX;Q;Perpetual with call feature (the issue may be called for redemption at some time in the future);
AttributeValue;DNXXRX;R;Perpetual with put feature (the issue may be puttable for redemption at some time in the future);
AttributeValue;DNXXEX;E;Extendible;
Attribute;FourthAttribute;Form;negotiability, transmission;
AttributeValue;DNXXXB;B;Bearer (the owner is not registered in the books of the issuer or of the registrar);
AttributeValue;DNXXXR;R;Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner);
AttributeValue;DNXXXN;N;Bearer/registered (securities are issued in both bearer and registered form but with the same identification number);
AttributeValue;DNXXXM;M;Others (miscellaneous);
Group;DDXXXX;Depository receipts on debt instruments;"Depository receipts are securities that facilitate the ownership of instruments traded in other jurisdictions. Depository receipts are widely used in order to allow the trading of debt instruments in jurisdictions other than the one where the original debt instruments were issued.";
Attribute;FirstAttribute;Instrument dependency;represents the ownership of an instrument provided in this table;
AttributeValue;DDCXXX;C;Convertible bonds;
AttributeValue;DDWXXX;W;Bonds with warrants attached;
AttributeValue;DDTXXX;T;Medium-term notes;
AttributeValue;DDYXXX;Y;Money market instruments;
AttributeValue;DDGXXX;G;Mortgage-backed securities;
AttributeValue;DDAXXX;A;Asset-backed securities;
AttributeValue;DDBXXX;B;Bonds;
AttributeValue;DDNXXX;N;Municipal bonds;
AttributeValue;DDMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Type of interest/cash payment;;
AttributeValue;DDXFXX;F;Fixed rate (all interest payments are known at issuance and remain constant for the life of the issue);
AttributeValue;DDXZXX;Z;"Zero rate/discounted [no periodical interest payments are made; the interest charge (discount) is the difference between maturity value and proceeds at time of acquisition]";
AttributeValue;DDXVXX;V;"Variable (the interest rate is subject to adjustment through the life of the issue; includes graduated, i.e. step-up/step-down, floating and indexed interest rates)";
AttributeValue;DDXCXX;C;"Cash payment (this attribute applies only for sukuk certificates; a sukuk takes place when a set of investors pool their wealth to invest in accordance with sharia principles to earn profits which are then distributed pro rata)";
Attribute;ThirdAttribute;Guarantee or ranking;indicates, in the case of the issuer’s inability to settle, whether the debt issue is additionally secured: Guideline: The values N (Senior), O (Senior subordinated), Q (Junior) and J (Junior subordinated) may only be used for unsecured securities. P (Negative pledge) may only be used for unsecured securities that are neither senior nor junior. U (Unsecured) may be used only if one of these codes does not apply to the relevant security.;
AttributeValue;DDXXTX;T;Government guarantee [the debt instrument is guaranteed by a federal, state, (semi)-government, sovereigns, agencies];
AttributeValue;DDXXGX;G;"Joint guarantee [the debt instrument is guaranteed by an entity (e.g. corporation) other than the issuer; not a federal or state government]";
AttributeValue;DDXXSX;S;Secured (debt issue against which specific assets are pledged to secure the obligation, e.g. mortgage or receivables);
AttributeValue;DDXXUX;U;Unsecured/unguaranteed (the direct obligations of the issuer rest solely on its general credit);
AttributeValue;DDXXPX;P;Negative pledge (the borrower agrees not to pledge any assets if such pledging would result in less security for the agreement's bondholders);
AttributeValue;DDXXNX;N;Senior (applies to senior debts that are placed before senior subordinated, junior and junior subordinated in the ranking in the event of liquidation);
AttributeValue;DDXXOX;O;Senior subordinated (applies to senior subordinated debts that are placed before junior and junior subordinated in the ranking in the event of liquidation);
AttributeValue;DDXXQX;Q;Junior (applies to junior debts that are placed before junior subordinated in the ranking in the event of liquidation);
AttributeValue;DDXXJX;J;Junior subordinated (applies to junior subordinated debts in the ranking in the event of liquidation);
AttributeValue;DDXXCX;C;Supranational (organization defined as being beyond the scope or borders of any one nation such as two or more central banks or two or more central governments. Examples of supranational include the United Nations, the European Union, the European Investment Bank and the World Bank);
